Trip.ID,Duration,Start .Date,Start .Station,Start .Terminal,End.Date,End.Station,End.Terminal,Bike..,Subscriber.Type,Zip.Code
T100000,4891,09/06/2014 07:53,Redwood City,01012,09/06/2014 09:14,Oakland Transit,01008,B5881,Subscriber,95147
T100001,7493,02/13/2014 05:40,Redwood City,01014,02/13/2014 07:45,Fremont Hub,01006,B1085,Subscriber,94904
T100002,8342,01/10/2014 17:07,Palo Alto Station,01007,01/10/2014 19:26,Campbell Ave,01010,B8424,Subscriber,95003
T100003,9979,10/15/2014 23:45,Mountain View Caltrain,01012,10/16/2014 02:31,Cupertino Center,01010,B6553,Subscriber,94513
T100004,7108,04/17/2014 19:27,Cupertino Center,01006,04/17/2014 21:26,Fremont Hub,01009,B4868,Subscriber,94246
T100005,1684,04/06/2014 02:33,Los Gatos Depot,01007,04/06/2014 03:01,Cupertino Center,01001,B9737,Customer,95142
T100006,1934,03/28/2014 16:28,San Jose Diridon,01010,03/28/2014 17:00,Santana Row,01015,B4831,Customer,94891
T100007,10786,02/24/2014 04:35,Los Gatos Depot,01012,02/24/2014 07:35,Santana Row,01011,B6739,Subscriber,94713
T100008,10724,10/14/2014 00:24,Redwood City,01010,10/14/2014 03:23,San Jose Diridon,01006,B5902,Customer,94364
T100009,9093,02/09/2014 19:19,Palo Alto Station,01010,02/09/2014 21:51,Santa Clara Transit,01007,B5661,Customer,94051
T100010,3582,09/20/2014 19:17,Santana Row,01009,09/20/2014 20:17,Redwood City,01003,B3293,Subscriber,94748
T100011,7106,10/15/2014 15:31,Campbell Ave,01009,10/15/2014 17:29,Sunnyvale Station,01012,B7187,Customer,94954
T100012,7458,12/13/2014 11:42,Menlo Park,01011,12/13/2014 13:47,Campbell Ave,01014,B9514,Subscriber,94708
T100013,3803,07/31/2014 19:11,Sunnyvale Station,01015,07/31/2014 20:14,Cupertino Center,01007,B5057,Customer,94868
T100014,6839,02/03/2014 18:19,Redwood City,01012,02/03/2014 20:13,Mountain View Caltrain,01006,B2724,Subscriber,94437
T100015,5613,08/18/2014 07:47,Menlo Park,01013,08/18/2014 09:20,Mountain View Caltrain,01007,B6371,Subscriber,95146
T100016,7490,06/13/2014 20:35,Palo Alto Station,01001,06/13/2014 22:40,Palo Alto Station,01006,B9461,Subscriber,94391
T100017,6592,01/13/2014 08:14,Downtown San Jose,01009,01/13/2014 10:04,Fremont Hub,01001,B4154,Subscriber,94783
T100018,6875,01/12/2014 13:43,Los Gatos Depot,01002,01/12/2014 15:38,Cupertino Center,01005,B6919,Customer,94766
T100019,1617,02/06/2014 09:18,Redwood City,01008,02/06/2014 09:45,Cupertino Center,01006,B8443,Customer,94366
T100020,5180,03/26/2014 21:51,Santana Row,01008,03/26/2014 23:17,San Jose Diridon,01006,B2605,Subscriber,94021
T100021,7052,04/01/2014 08:33,Oakland Transit,01014,04/01/2014 10:30,Redwood City,01005,B3401,Customer,94401
T100022,5180,07/16/2014 06:15,Sunnyvale Station,01015,07/16/2014 07:41,Mountain View Caltrain,01008,B7974,Subscriber,94905
T100023,4236,08/22/2014 19:13,Mountain View Caltrain,01001,08/22/2014 20:23,Sunnyvale Station,01014,B7751,Customer,94739
T100024,6192,01/11/2014 07:19,Mountain View Caltrain,01015,01/11/2014 09:03,Redwood City,01009,B2342,Subscriber,95077
T100025,2560,08/06/2014 23:10,Palo Alto Station,01004,08/06/2014 23:53,Redwood City,01002,B2511,Subscriber,94399
T100026,7830,03/19/2014 05:18,Fremont Hub,01009,03/19/2014 07:28,Fremont Hub,01004,B2018,Subscriber,94011
T100027,1159,10/06/2014 01:47,Mountain View Caltrain,01009,10/06/2014 02:06,Sunnyvale Station,01012,B7961,Subscriber,94635
T100028,1554,09/10/2014 09:21,Los Gatos Depot,01007,09/10/2014 09:47,Oakland Transit,01015,B3130,Customer,94672
T100029,1458,09/30/2014 08:49,Menlo Park,01012,09/30/2014 09:13,Redwood City,01008,B8802,Customer,94192
T100030,1587,07/31/2014 15:13,Downtown San Jose,01001,07/31/2014 15:39,Downtown San Jose,01012,B4519,Subscriber,94755
T100031,7135,06/12/2014 22:12,Campbell Ave,01009,06/13/2014 00:11,Oakland Transit,01007,B8309,Customer,94519
T100032,1642,03/27/2014 14:39,Downtown San Jose,01007,03/27/2014 15:06,Mountain View Caltrain,01013,B2279,Subscriber,95029
T100033,6165,06/24/2014 10:55,Campbell Ave,01009,06/24/2014 12:38,Sunnyvale Station,01008,B7050,Customer,94026
T100034,2191,08/17/2014 20:21,Fremont Hub,01013,08/17/2014 20:57,Cupertino Center,01005,B9622,Customer,94559
T100035,9175,04/19/2014 00:55,Palo Alto Station,01011,04/19/2014 03:28,Oakland Transit,01003,B7598,Customer,94068
T100036,1042,11/11/2014 08:26,Sunnyvale Station,01001,11/11/2014 08:43,Menlo Park,01013,B9502,Subscriber,94563
T100037,9668,12/04/2014 14:27,Santa Clara Transit,01004,12/04/2014 17:09,Menlo Park,01012,B7468,Customer,94980
T100038,9261,01/03/2014 12:34,Redwood City,01005,01/03/2014 15:08,Fremont Hub,01015,B5320,Customer,94815
