   GMS PTS REB AST TO A.T STL BLK PF FG FT X3P
 1 6 84.2 41.5 17.8 12.8 1.39 6.7 3.8 16.7 0.514 0.664 0.417
 2 6 74.5 34.0 19.0 10.2 1.87 8.0 1.7 16.5 0.457 0.753 0.361
 3 5 77.4 35.4 13.6 11.0 1.24 5.4 4.2 16.6 0.479 0.702 0.376
 4 5 80.8 37.8 13.0 12.6 1.03 8.4 2.4 19.8 0.445 0.783 0.329
 5 4 79.8 35.0 15.8 14.5 1.09 6.0 6.5 13.3 0.542 0.759 0.397
 6 4 72.8 32.3 12.8 13.5 0.94 7.3 3.5 19.5 0.510 0.663 0.400
 7 4 68.8 31.0 13.0 11.3 1.16 3.8 0.8 14.0 0.467 0.753 0.429
 8 4 81.0 28.5 19.0 14.8 1.29 6.8 3.5 18.8 0.509 0.762 0.467
 9 3 62.7 36.0 8.3 15.3 0.54 8.0 4.7 19.7 0.407 0.716 0.328
 10 3 65.3 26.7 13.0 14.0 0.93 11.3 5.7 17.7 0.409 0.827 0.377
 11 3 75.3 29.0 16.0 13.0 1.23 8.0 0.3 17.7 0.483 0.827 0.476
 12 3 65.7 41.3 8.7 14.3 0.60 9.3 4.3 19.7 0.360 0.692 0.279
 13 3 59.7 34.7 13.3 16.7 0.80 4.7 2.0 17.3 0.472 0.579 0.357
 14 3 88.0 33.3 17.0 11.3 1.50 6.7 1.3 19.7 0.508 0.696 0.358
 15 3 76.3 27.7 16.3 11.7 1.40 7.0 3.0 18.7 0.457 0.750 0.405
 16 3 69.7 32.7 16.3 12.3 1.32 8.3 1.3 14.3 0.509 0.646 0.308
 17 2 72.5 33.5 15.0 14.5 1.03 8.5 2.0 22.5 0.390 0.667 0.283
 18 2 69.5 37.0 13.0 13.5 0.96 5.0 5.0 14.5 0.464 0.744 0.250
 19 2 66.0 33.0 12.0 17.5 0.69 8.5 6.0 25.5 0.387 0.818 0.341
 20 2 67.0 32.0 11.0 12.0 0.92 8.5 1.5 21.5 0.440 0.781 0.406
 21 2 64.5 43.0 15.5 15.0 1.03 10.0 5.0 20.0 0.391 0.528 0.286
 22 2 71.0 30.5 13.0 10.5 1.24 8.0 1.0 25.0 0.410 0.818 0.323
 23 2 80.0 38.5 20.0 20.5 0.98 7.0 4.0 18.0 0.520 0.700 0.522
 24 2 87.5 41.5 19.5 16.5 1.18 8.5 2.5 20.0 0.465 0.667 0.333
 25 2 71.0 40.5 9.5 10.5 0.90 8.5 3.0 19.0 0.393 0.794 0.156
 26 2 60.5 35.5 9.5 12.5 0.76 7.0 0.0 15.5 0.341 0.760 0.326
 27 2 79.0 33.0 14.0 10.0 1.40 3.0 1.0 18.0 0.459 0.700 0.409
